"Idades
Exatas
(X)";"Probabilidades de Morte
entre Duas Idades Exatas
Q (X, N) (Por Mil)";"Óbitos
D (X, N)";"l ( X )";"L (X, N)";"T(X)";"Expectativa de Vida
à Idade X
E(X)";"ano"
"21";"1.5834351931369437";"154.03008956658587";"97275.90382871106";"97198.888783927774";"5430416.9126206823";"55.82489289621887";2013
"22";"1.6540018048634386";"160.63975445626397";"97121.873739144474";"97041.553861916342";"5333218.0238367543";"54.912635212959529";2013
"23";"1.6856377841979413";"163.44151960704795";"96961.23398468821";"96879.513224884693";"5236176.4699748382";"54.002782914269815";2013
"24";"1.6888606569883597";"163.47798337759986";"96797.792465081162";"96716.053473392356";"5139296.9567499533";"53.093121504851503";2013
"25";"1.6786352108926343";"162.2137628694596";"96634.314481703565";"96553.207600268826";"5042580.9032765608";"52.182094221109281";2013
"26";"1.6728262644394274";"161.38106386811145";"96472.100718834103";"96391.410186900044";"4946027.6956762923";"51.268995479754146";2013
"27";"1.6794856509581975";"161.75247169397301";"96310.719654965986";"96229.843419119003";"4849636.2854893925";"50.354065496169667";2013
"28";"1.7079308591019073";"164.21578812308687";"96148.96718327202";"96066.859289210479";"4753406.4420702737";"49.437935542351518";2013
"29";"1.7539499043491231";"168.35244552849582";"95984.751395148938";"95900.575172384692";"4657339.5827810634";"48.521661150194376";2013
"30";"1.8069857118931356";"173.1388638670166";"95816.398949620445";"95729.829517686943";"4561439.0076086791";"47.60603672871332";2013
"31";"1.8597468274733668";"177.87224951369004";"95643.260085753427";"95554.323960996582";"4465709.1780909924";"46.691310752969443";2013
"32";"1.9155036782172594";"182.86430154275445";"95465.387836239737";"95373.955685468361";"4370154.8541299962";"45.777374954224364";2013
"33";"1.9730284863205494";"187.99513318246531";"95282.523534696986";"95188.525968105751";"4274780.8984445278";"44.864270380998811";2013
"34";"2.0355824589948561";"193.57275396051111";"95094.528401514515";"94997.742024534266";"4179592.3724764222";"43.951975394725828";2013
"35";"2.1080875514326669";"200.05952321967223";"94900.955647554001";"94800.925885944162";"4084594.6304518878";"43.040605888326112";2013
"36";"2.1952340274744335";"207.89062960446043";"94700.896124334322";"94596.950809532093";"3989793.7045659437";"42.130474661271208";2013
"37";"2.2987353408699809";"217.21441119575681";"94493.005494729863";"94384.39828913199";"3895196.7537564114";"41.222064356643386";2013
"38";"2.4212858179140966";"228.26863592319339";"94275.791083534103";"94161.656765572508";"3800812.3554672794";"40.315889283809113";2013
"39";"2.5632761191207041";"241.06976835242938";"94047.522447610914";"93926.987563434697";"3706650.6987017067";"39.412528924050001";2013
"40";"2.7216655968087902";"255.30979501580956";"93806.45267925848";"93678.797781750574";"3612723.7111382722";"38.512528807488749";2013
"41";"2.8981974966603929";"271.12968811683083";"93551.142884242669";"93415.578040184249";"3519044.9133565216";"37.6162685442644";2013
"42";"3.0989756225329419";"289.0724869643451";"93280.013196125845";"93135.476952643672";"3425629.3353163372";"36.724151486919091";2013
