 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos, 20 a 24 anos, 25 a 29 anos, 30 a 34 anos, 35 a 39 anos, 40 a 44 anos, 45 a 49 anos, 50 a 54 anos, 55 a 59 anos, 60 a 64 anos, 65 a 69 anos
Período:2016
"Município";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"Total"
"315460 Ribeirão das Neves";-;24;751;1226;1252;966;544;118;12;-;-;-;-;4893
"315470 Ribeirão Vermelho";-;1;6;10;8;16;5;2;-;-;-;-;-;48
"315480 Rio Acima";-;-;21;29;33;30;24;1;-;-;-;-;-;138
"315490 Rio Casca";-;1;22;40;31;30;17;3;-;-;-;-;-;144
"315510 Rio do Prado";-;-;9;11;8;9;5;1;-;-;-;-;-;43
"315500 Rio Doce";-;-;5;4;4;4;4;2;-;-;-;-;-;23
"315520 Rio Espera";-;-;3;7;13;5;2;1;1;-;-;-;-;32
"315530 Rio Manso";-;-;9;4;9;11;7;3;-;-;-;-;-;43
"315540 Rio Novo";-;-;12;17;20;14;1;1;-;-;-;-;-;65
"315550 Rio Paranaíba";-;1;24;36;43;23;18;2;-;-;-;-;-;147
"315560 Rio Pardo de Minas";-;1;77;108;100;79;23;8;1;-;-;-;-;397
"315570 Rio Piracicaba";-;1;21;26;44;26;28;6;-;-;-;-;-;152
"315580 Rio Pomba";-;4;24;44;47;34;16;1;-;-;-;-;-;170
"315590 Rio Preto";-;-;7;10;6;6;4;2;1;-;-;-;-;36
"315600 Rio Vermelho";-;1;34;46;34;31;6;4;1;-;-;-;-;157
"315610 Ritápolis";-;1;5;12;7;11;4;1;1;-;-;-;-;42
"315620 Rochedo de Minas";-;-;7;9;4;4;4;-;-;-;-;-;-;28
"315630 Rodeiro";-;1;17;24;41;19;16;1;-;-;-;-;-;119
"315640 Romaria";-;-;2;8;11;5;2;3;-;-;-;-;-;31
"315645 Rosário da Limeira";-;-;8;4;6;5;5;1;-;-;-;-;-;29
"315650 Rubelita";-;-;17;12;10;6;9;3;-;-;-;-;-;57
"315660 Rubim";-;1;20;22;27;12;8;-;-;-;-;-;-;90
"315670 Sabará";-;5;272;396;417;391;233;48;1;-;-;-;-;1763
"315680 Sabinópolis";-;-;30;48;45;33;15;5;-;-;-;-;-;176
"315690 Sacramento";-;-;53;87;96;55;37;5;-;-;-;-;-;333
"315700 Salinas";-;5;86;114;121;120;45;12;1;-;-;-;-;504
"315710 Salto da Divisa";-;2;8;21;19;16;9;3;1;-;-;-;-;79
"315720 Santa Bárbara";-;1;66;87;102;100;52;11;1;-;-;-;-;420
"315725 Santa Bárbara do Leste";-;2;20;36;30;14;10;1;-;-;-;-;-;113
"315727 Santa Bárbara do Monte Verde";-;-;7;6;8;7;1;2;-;-;-;-;-;31
"315730 Santa Bárbara do Tugúrio";-;-;7;9;9;5;9;1;-;-;-;-;-;40
"315733 Santa Cruz de Minas";-;2;11;28;21;14;12;3;1;-;-;-;-;92
"315737 Santa Cruz de Salinas";-;-;7;11;13;8;3;3;-;-;-;-;-;45
"315740 Santa Cruz do Escalvado";-;-;6;10;10;11;4;3;-;-;-;-;-;44
"315750 Santa Efigênia de Minas";-;1;9;15;11;12;7;-;-;-;-;-;-;55
"315760 Santa Fé de Minas";-;-;14;11;10;5;3;-;-;-;-;-;-;43
"315765 Santa Helena de Minas";-;4;18;26;19;20;5;3;-;-;-;-;-;95
"315770 Santa Juliana";-;1;40;54;44;27;16;5;-;-;-;-;-;187
"315780 Santa Luzia";-;12;446;724;725;637;357;103;3;1;1;-;-;3009
"315790 Santa Margarida";-;1;51;72;63;44;18;2;-;-;-;-;-;251
"315800 Santa Maria de Itabira";-;-;21;40;32;26;20;4;-;-;-;-;-;143
"315810 Santa Maria do Salto";-;-;10;11;9;9;7;1;-;-;-;-;-;47
"315820 Santa Maria do Suaçuí";-;-;35;55;39;23;14;4;-;1;-;-;-;171
"315920 Santa Rita de Caldas";-;-;6;16;23;12;8;1;-;-;-;-;-;66
"315940 Santa Rita de Ibitipoca";-;-;4;9;2;4;2;2;-;-;-;-;-;23
"315930 Santa Rita de Jacutinga";-;-;4;6;10;13;6;1;1;-;-;-;-;41
"315935 Santa Rita de Minas";-;-;25;28;29;13;6;2;-;-;-;-;-;103
"315950 Santa Rita do Itueto";-;1;5;18;14;22;10;2;-;-;-;-;-;72
"315960 Santa Rita do Sapucaí";-;2;78;91;120;114;56;9;1;-;-;-;-;471
"315970 Santa Rosa da Serra";-;-;8;6;8;6;4;-;-;-;-;-;-;32
"315980 Santa Vitória";-;5;64;100;73;36;25;9;-;-;-;-;-;312
"315830 Santana da Vargem";-;-;10;20;17;15;5;3;-;-;-;-;-;70
"315840 Santana de Cataguases";-;-;-;6;4;1;-;1;-;-;-;-;-;12
"315850 Santana de Pirapama";-;-;12;9;14;15;9;1;-;-;-;-;-;60
"315860 Santana do Deserto";-;-;3;10;11;11;7;1;-;-;-;-;-;43
"315870 Santana do Garambéu";-;-;3;4;6;3;2;-;-;-;-;-;-;18
"315880 Santana do Jacaré";-;-;6;21;13;7;5;1;1;-;-;-;-;54
"315890 Santana do Manhuaçu";-;-;27;34;21;29;8;1;-;-;-;-;-;120
"315895 Santana do Paraíso";-;2;62;130;172;165;81;18;-;-;-;-;-;630
"315900 Santana do Riacho";-;-;12;10;9;11;6;3;-;-;-;-;-;51
"315910 Santana dos Montes";-;-;12;11;6;4;2;-;-;-;-;-;-;35
"315990 Santo Antônio do Amparo";-;2;39;46;51;38;11;4;-;-;-;-;-;191
"316000 Santo Antônio do Aventureiro";-;-;6;4;7;7;1;-;-;-;-;-;-;25
"316010 Santo Antônio do Grama";-;-;5;15;15;10;1;1;-;-;-;-;-;47
"316020 Santo Antônio do Itambé";-;-;11;13;3;3;4;-;-;-;-;-;-;34
"316030 Santo Antônio do Jacinto";-;-;31;47;28;22;11;2;-;-;-;-;-;141
"316040 Santo Antônio do Monte";-;2;35;74;103;81;32;8;-;-;-;-;-;335
"316045 Santo Antônio do Retiro";-;-;11;24;24;15;5;1;-;-;-;-;-;80
"316050 Santo Antônio do Rio Abaixo";-;-;2;-;2;4;3;-;-;-;-;-;-;11
"316060 Santo Hipólito";-;-;9;7;5;4;-;1;-;-;-;-;-;26
"316070 Santos Dumont";-;1;67;135;119;96;76;13;2;-;-;-;-;509
"316080 São Bento Abade";-;-;11;17;18;17;3;3;-;-;-;-;-;69
"316090 São Brás do Suaçuí";-;-;3;7;10;18;4;2;-;-;-;-;-;44
"316095 São Domingos das Dores";-;1;12;16;27;18;10;1;-;-;-;-;-;85
"316100 São Domingos do Prata";-;1;14;37;40;34;19;4;-;-;-;-;-;149
"316105 São Félix de Minas";-;-;7;13;8;3;5;1;-;-;-;-;-;37
"316110 São Francisco";-;7;157;210;175;134;54;14;2;-;-;1;-;754
"316120 São Francisco de Paula";-;1;3;16;13;18;6;3;1;-;-;-;-;61
"316130 São Francisco de Sales";-;-;10;14;18;12;6;2;-;-;-;-;-;62
"316140 São Francisco do Glória";-;-;8;13;10;5;4;-;1;-;-;-;-;41
"316150 São Geraldo";-;-;19;28;29;11;6;-;2;-;-;-;-;95
"316160 São Geraldo da Piedade";-;-;14;12;11;5;8;2;-;-;-;-;-;52
"316165 São Geraldo do Baixio";-;-;12;8;5;8;3;2;-;-;-;-;-;38
"316170 São Gonçalo do Abaeté";-;-;19;11;12;7;5;1;-;-;-;-;-;55
"316180 São Gonçalo do Pará";-;-;28;32;28;31;20;5;-;-;-;-;-;144
"316190 São Gonçalo do Rio Abaixo";-;-;16;25;46;30;15;5;-;-;-;-;-;137
"312550 São Gonçalo do Rio Preto";-;-;6;8;4;5;5;1;-;-;-;-;-;29
"316200 São Gonçalo do Sapucaí";-;2;62;105;92;77;30;9;1;-;-;-;-;378
"316210 São Gotardo";-;9;121;193;152;110;41;5;-;-;-;-;-;631
"316220 São João Batista do Glória";-;-;13;27;19;18;9;1;-;-;-;-;-;87
"316225 São João da Lagoa";-;-;3;6;8;10;5;2;-;-;-;-;-;34
"316230 São João da Mata";-;-;-;4;9;8;3;1;-;-;-;-;-;25
"316240 São João da Ponte";-;2;34;46;59;65;24;7;-;-;-;-;-;237
"316245 São João das Missões";-;3;74;87;50;40;13;4;-;-;-;-;-;271
"316250 São João del Rei";-;5;118;208;259;228;149;37;1;1;-;-;-;1006
"316255 São João do Manhuaçu";-;1;31;45;36;28;15;4;-;-;-;-;-;160
"316257 São João do Manteninha";-;-;9;24;29;13;3;4;-;-;-;-;-;82
"316260 São João do Oriente";-;1;13;21;24;19;8;4;-;-;-;-;-;90
"316265 São João do Pacuí";-;1;4;8;10;11;2;2;-;-;-;-;-;38
"316270 São João do Paraíso";-;1;39;64;70;56;23;9;-;-;-;-;-;262
"316280 São João Evangelista";-;1;27;64;44;35;24;6;-;-;-;-;-;201
"316290 São João Nepomuceno";-;-;48;76;61;75;33;7;-;-;-;-;-;300
"316292 São Joaquim de Bicas";-;2;68;100;77;70;42;12;-;-;-;-;-;371
"316294 São José da Barra";-;-;11;24;21;14;8;2;-;-;-;-;-;80
"316295 São José da Lapa";-;2;25;78;96;73;37;9;-;-;-;-;-;320
"316300 São José da Safira";-;1;15;10;11;12;2;2;-;-;-;-;-;53
"316310 São José da Varginha";-;-;3;13;9;8;2;3;-;-;-;-;-;38
"316320 São José do Alegre";-;1;7;13;10;11;8;1;-;-;-;-;-;51
"316330 São José do Divino";-;-;14;17;19;10;4;1;-;-;-;-;-;65
"316340 São José do Goiabal";-;-;10;11;10;16;4;-;-;1;-;-;-;52
"316350 São José do Jacuri";-;1;10;18;11;10;5;3;1;-;-;-;-;59
"316360 São José do Mantimento";-;-;11;8;16;5;3;1;-;-;-;-;-;44
"316370 São Lourenço";-;3;76;123;155;112;61;15;1;-;-;-;-;546
"316380 São Miguel do Anta";-;-;8;15;17;17;11;1;-;-;-;-;-;69
"316390 São Pedro da União";-;-;7;11;15;14;6;-;-;-;-;-;-;53
"316410 São Pedro do Suaçuí";-;1;11;14;11;7;6;-;1;-;-;-;-;51
"316400 São Pedro dos Ferros";-;-;8;19;16;21;16;-;-;-;-;-;-;80
"316420 São Romão";-;1;29;29;28;15;6;2;-;-;-;-;-;110
"316430 São Roque de Minas";-;-;9;14;8;9;6;1;-;-;-;-;-;47
"316440 São Sebastião da Bela Vista";-;1;12;18;12;13;6;-;-;-;-;-;-;62
"316443 São Sebastião da Vargem Alegre";-;-;3;5;2;4;4;1;-;-;-;-;-;19
"316447 São Sebastião do Anta";-;-;16;22;12;15;11;2;-;-;-;-;-;78
"316450 São Sebastião do Maranhão";-;1;19;17;19;13;10;7;-;-;-;-;-;86
"316460 São Sebastião do Oeste";-;-;17;35;24;15;10;1;1;-;-;-;-;103
"316470 São Sebastião do Paraíso";-;8;137;197;189;170;91;29;-;-;-;-;-;821
"316480 São Sebastião do Rio Preto";-;-;-;5;1;4;3;-;-;-;-;-;-;13
"316490 São Sebastião do Rio Verde";-;-;1;2;5;7;3;-;-;-;-;-;-;18
"316520 São Thomé das Letras";-;-;18;19;17;13;9;2;-;-;-;-;-;78
"316500 São Tiago";-;-;17;25;18;18;9;3;-;-;-;-;-;90
"316510 São Tomás de Aquino";-;-;12;21;17;18;16;3;-;-;-;-;-;87
"316530 São Vicente de Minas";-;-;12;31;19;11;10;1;-;-;-;-;-;84
"316540 Sapucaí-Mirim";-;1;6;24;15;18;3;2;-;-;-;-;-;69
"316550 Sardoá";-;1;11;19;16;15;13;3;-;-;-;-;-;78
"316553 Sarzedo";-;2;52;115;159;124;61;13;1;-;-;-;-;527
"316556 Sem-Peixe";-;-;2;1;4;6;3;1;1;-;-;-;-;18
"316557 Senador Amaral";-;3;26;26;21;19;11;3;-;-;-;-;-;109
"316560 Senador Cortes";-;-;4;8;6;4;6;-;-;-;-;-;-;28
"316570 Senador Firmino";-;1;15;13;15;21;8;4;-;-;-;-;-;77
"316580 Senador José Bento";-;-;-;2;3;1;-;-;-;-;-;-;-;6
"316590 Senador Modestino Gonçalves";-;-;5;8;14;7;6;5;-;-;-;-;-;45
"316600 Senhora de Oliveira";-;-;8;19;14;10;8;1;3;-;-;-;-;63
"316610 Senhora do Porto";-;1;14;8;7;8;6;2;-;-;-;-;-;46
"316620 Senhora dos Remédios";-;-;11;24;14;18;12;4;-;-;-;-;-;83
"316630 Sericita";-;1;18;31;36;16;7;-;-;-;-;-;-;109
"316640 Seritinga";-;-;2;2;4;6;2;-;-;-;-;-;-;16
"316650 Serra Azul de Minas";-;-;10;16;20;10;6;2;-;-;-;-;-;64
"316660 Serra da Saudade";-;-;-;-;2;4;-;-;-;-;-;-;-;6
"316680 Serra do Salitre";-;1;19;41;34;26;14;2;1;-;-;-;-;138
"316670 Serra dos Aimorés";-;-;20;24;21;16;10;-;-;-;-;-;-;91
"316690 Serrania";-;-;12;30;24;11;9;2;-;-;-;-;-;88
"316695 Serranópolis de Minas";-;1;10;11;13;3;4;1;-;-;-;-;-;43
"316700 Serranos";-;-;4;10;5;7;-;1;-;-;-;-;-;27
"316710 Serro";-;2;44;80;71;37;31;12;3;-;-;-;-;280
"316720 Sete Lagoas";-;19;303;575;623;598;372;105;3;1;-;-;-;2599
"316555 Setubinha";-;-;24;31;34;22;17;4;2;-;-;-;-;134
"316730 Silveirânia";-;-;7;5;5;4;1;1;-;-;-;-;-;23
"316740 Silvianópolis";-;-;11;17;14;23;10;3;-;-;-;-;-;78
"316750 Simão Pereira";-;-;4;6;6;3;2;1;-;-;-;-;-;22
"316760 Simonésia";-;1;52;92;66;66;16;4;-;-;-;-;-;297
"316770 Sobrália";-;-;10;12;14;13;4;2;-;-;-;-;-;55
"316780 Soledade de Minas";-;1;11;16;18;19;6;1;-;-;-;-;-;72
"316790 Tabuleiro";-;-;8;12;3;7;6;3;-;-;-;-;-;39
"316800 Taiobeiras";-;7;72;94;141;74;46;8;1;-;-;-;-;443
"316805 Taparuba";-;-;7;19;11;8;1;1;-;-;-;-;-;47
"316810 Tapira";-;-;5;8;18;15;6;-;-;-;-;-;-;52
"316820 Tapiraí";-;1;-;-;4;-;3;-;-;-;-;-;-;8
"316830 Taquaraçu de Minas";-;-;7;5;10;5;7;2;-;-;-;-;-;36
"316840 Tarumirim";-;-;27;33;26;39;8;5;-;-;-;-;-;138
"316850 Teixeiras";-;2;8;28;26;16;17;3;1;-;-;-;-;101
"316860 Teófilo Otoni";-;8;283;413;445;409;213;53;-;-;-;-;-;1824
"316870 Timóteo";-;3;123;210;254;213;144;33;-;-;-;-;-;980
"316880 Tiradentes";-;1;15;26;29;20;8;5;-;-;-;-;-;104
"316890 Tiros";-;-;10;17;18;11;5;1;-;-;-;-;-;62
"316900 Tocantins";-;-;28;41;53;35;18;7;-;-;-;-;-;182
"316905 Tocos do Moji";-;-;2;6;7;9;3;2;-;-;-;-;-;29
"316910 Toledo";-;-;14;18;17;13;7;1;-;-;-;-;-;70
"316920 Tombos";-;1;18;17;23;20;11;6;-;-;-;-;-;96
"316930 Três Corações";-;6;144;243;245;236;133;17;2;-;-;-;-;1026
"316935 Três Marias";-;1;39;89;93;82;49;13;-;-;-;-;-;366
"316940 Três Pontas";-;4;96;155;152;144;81;25;-;-;-;-;-;657
"316950 Tumiritinga";-;-;22;17;20;7;5;4;-;-;-;-;-;75
"316960 Tupaciguara";-;2;53;56;57;36;12;4;1;-;-;-;-;221
"316970 Turmalina";-;-;21;68;63;43;24;6;-;-;-;-;-;225
"316980 Turvolândia";-;1;11;13;8;13;5;2;-;-;-;-;-;53
"316990 Ubá";-;2;158;308;291;247;130;22;1;-;-;-;-;1159
"317000 Ubaí";-;3;25;48;37;26;15;2;-;-;-;-;-;156
"317005 Ubaporanga";-;2;28;25;36;27;13;2;-;-;-;-;-;133
"317010 Uberaba";-;22;586;995;1026;891;501;102;10;1;-;-;-;4134
"317020 Uberlândia";-;49;1127;2204;2473;2119;1060;209;6;-;-;-;-;9247
"317030 Umburatiba";-;-;3;3;9;8;5;-;-;-;-;-;-;28
"317040 Unaí";-;6;158;265;272;229;115;23;-;-;-;-;-;1068
"317043 União de Minas";-;1;8;13;11;4;1;-;-;-;-;-;-;38
"317047 Uruana de Minas";-;-;1;8;10;5;2;-;-;-;-;-;-;26
"317050 Urucânia";-;1;19;29;33;29;12;1;-;-;-;-;-;124
"317052 Urucuia";-;1;20;37;31;26;9;3;-;-;-;-;-;127
"317057 Vargem Alegre";-;2;12;12;18;8;4;1;1;-;-;-;-;58
"317060 Vargem Bonita";-;-;1;1;4;6;-;1;-;-;-;-;-;13
"317065 Vargem Grande do Rio Pardo";-;-;7;16;12;13;6;-;-;-;-;-;-;54
"317070 Varginha";-;4;197;377;438;423;227;64;4;1;-;-;-;1735
"317075 Varjão de Minas";-;1;16;35;24;16;8;3;1;-;-;-;-;104
"317080 Várzea da Palma";-;1;69;102;80;53;29;4;1;-;-;-;-;339
"317090 Varzelândia";-;2;39;55;60;37;19;8;-;-;-;-;-;220
"317100 Vazante";-;-;37;49;56;49;32;6;-;-;-;-;-;229
"317103 Verdelândia";-;4;32;49;32;15;7;-;-;-;-;-;-;139
"317107 Veredinha";-;-;4;14;12;14;4;5;-;-;-;-;-;53
"317110 Veríssimo";-;-;7;10;7;4;3;1;-;-;-;-;-;32
"317115 Vermelho Novo";-;1;6;13;13;9;6;4;-;-;-;-;-;52
"317120 Vespasiano";-;5;283;475;485;373;242;53;3;-;1;-;-;1920
"317130 Viçosa";-;1;107;183;208;228;101;25;1;-;-;-;-;854
"317140 Vieiras";-;-;3;9;9;8;2;-;-;-;-;-;-;31
"317160 Virgem da Lapa";-;1;19;20;25;24;7;2;-;-;-;-;-;98
"317170 Virgínia";-;-;9;27;25;19;5;1;-;-;-;-;-;86
"317180 Virginópolis";-;-;17;39;37;37;18;4;-;-;-;-;-;152
"317190 Virgolândia";-;-;8;13;10;12;3;-;1;-;-;-;-;47
"317200 Visconde do Rio Branco";-;1;76;128;131;98;47;5;-;-;-;-;-;486
"317210 Volta Grande";-;-;10;8;18;12;1;1;-;-;-;-;-;50
"317220 Wenceslau Braz";-;1;3;2;10;7;-;1;-;-;-;-;-;24
"310000 Município ignorado - MG";-;-;1;1;2;-;-;-;-;-;-;-;-;4
"320010 Afonso Cláudio";-;2;63;99;82;67;38;2;-;-;-;-;-;353
"320016 Água Doce do Norte";-;3;36;38;46;28;8;1;-;-;-;-;-;160
"320013 Águia Branca";-;1;15;33;28;19;8;-;1;-;-;-;-;105
"320020 Alegre";-;3;57;80;83;67;32;10;1;-;-;-;-;333
"320030 Alfredo Chaves";-;-;13;23;26;38;17;2;-;-;-;-;-;119
"320035 Alto Rio Novo";-;-;20;25;27;22;5;1;-;-;-;-;-;100
"320040 Anchieta";-;5;47;81;106;88;44;13;1;-;-;-;-;385
"320050 Apiacá";-;1;6;18;21;16;7;-;-;-;-;-;-;69
"320060 Aracruz";-;18;230;352;393;273;147;35;4;-;-;-;-;1452
"320070 Atilio Vivacqua";-;1;29;35;41;34;9;2;-;-;-;-;-;151
"320080 Baixo Guandu";-;3;65;89;84;74;34;8;-;-;-;-;-;357
"320090 Barra de São Francisco";-;6;144;179;178;129;53;12;-;-;-;-;-;701
"320100 Boa Esperança";-;4;42;42;37;41;16;2;-;-;-;-;-;184
"320110 Bom Jesus do Norte";-;-;14;21;24;25;18;3;-;-;-;-;-;105
"320115 Brejetuba";-;4;39;51;46;32;19;2;-;-;-;-;-;193
"320120 Cachoeiro de Itapemirim";-;13;369;626;704;558;313;68;3;-;-;-;-;2654
"320130 Cariacica";-;45;985;1472;1412;1189;614;139;7;-;-;-;-;5863
"320140 Castelo";-;6;51;68;98;107;55;10;2;-;-;-;-;397
"320150 Colatina";-;10;236;363;433;335;181;41;1;-;-;-;-;1600
"320160 Conceição da Barra";-;6;95;121;88;61;24;6;-;-;-;-;-;401
"320170 Conceição do Castelo";-;-;28;43;38;30;15;-;1;-;-;-;-;155
"320180 Divino de São Lourenço";-;-;9;7;16;10;3;3;-;-;-;-;-;48
"320190 Domingos Martins";-;3;58;113;121;100;43;15;1;-;-;-;-;454
"320200 Dores do Rio Preto";-;-;10;12;18;9;3;2;-;-;-;-;-;54
"320210 Ecoporanga";-;2;44;81;67;56;24;6;-;-;-;-;-;280
"320220 Fundão";-;3;43;55;54;47;22;4;-;-;-;-;-;228
"320225 Governador Lindenberg";-;-;19;28;34;28;8;7;-;-;-;-;-;124
"320230 Guaçuí";-;5;61;125;92;52;52;9;-;-;-;-;-;396
"320240 Guarapari";-;10;278;442;418;366;184;41;4;-;-;-;-;1743
"320245 Ibatiba";-;1;56;103;79;61;25;6;-;-;-;-;-;331
"320250 Ibiraçu";-;2;23;40;34;23;9;4;1;-;-;-;-;136
"320255 Ibitirama";-;1;26;36;30;29;13;5;-;-;-;-;-;140
"320260 Iconha";-;-;16;23;37;39;12;5;-;-;-;-;-;132
"320265 Irupi";-;-;24;34;44;27;12;6;-;-;-;-;-;147
"320270 Itaguaçu";-;2;28;26;26;29;18;1;-;-;-;-;-;130
"320280 Itapemirim";-;2;101;158;148;107;58;12;-;-;-;-;-;586
"320290 Itarana";-;-;13;27;21;26;11;2;-;-;-;-;-;100
"320300 Iúna";-;2;70;104;98;71;44;10;-;-;-;-;-;399
"320305 Jaguaré";-;6;100;98;129;92;39;8;-;-;-;-;-;472
"320310 Jerônimo Monteiro";-;1;19;29;38;31;21;6;-;-;-;-;-;145
"320313 João Neiva";-;3;23;37;45;42;22;1;-;-;-;-;-;173
"320316 Laranja da Terra";-;-;15;14;21;12;8;2;-;-;-;-;-;72
"320320 Linhares";-;22;452;613;629;484;255;55;4;-;-;-;-;2514
"320330 Mantenópolis";-;2;31;43;40;26;14;3;-;-;-;-;-;159
"320332 Marataízes";-;4;94;143;133;108;51;10;1;-;-;-;-;544
"320334 Marechal Floriano";-;2;29;66;52;57;20;10;-;-;-;-;-;236
"320335 Marilândia";-;2;18;26;45;25;19;4;-;-;-;-;-;139
"320340 Mimoso do Sul";-;3;44;66;64;39;20;7;-;-;-;-;-;243
"320350 Montanha";-;4;42;61;43;44;16;2;-;-;-;-;-;212
"320360 Mucurici";-;3;19;19;21;19;6;2;-;-;-;-;-;89
"320370 Muniz Freire";-;2;36;54;50;40;25;11;-;-;-;-;-;218
"320380 Muqui";-;1;33;39;49;32;13;1;1;-;-;-;-;169
"320390 Nova Venécia";-;4;101;175;162;147;81;14;2;-;-;-;-;686
"320400 Pancas";-;1;33;55;70;44;30;5;-;-;-;-;-;238
"320405 Pedro Canário";-;3;74;102;71;57;16;4;-;-;-;-;-;327
"320410 Pinheiros";-;10;63;96;68;72;29;3;-;-;-;-;-;341
"320420 Piúma";-;4;50;84;80;41;24;8;-;-;-;-;-;291
"320425 Ponto Belo";-;2;15;21;16;12;7;3;-;-;-;-;-;76
"320430 Presidente Kennedy";-;2;34;42;51;38;15;5;2;-;-;-;-;189
"320435 Rio Bananal";-;3;30;46;67;55;38;4;1;-;-;-;-;244
"320440 Rio Novo do Sul";-;2;14;42;33;32;10;4;-;-;-;-;-;137
"320450 Santa Leopoldina";-;1;20;29;36;19;14;3;-;-;-;-;-;122
"320455 Santa Maria de Jetibá";-;3;72;137;154;132;56;19;2;-;-;-;-;575
"320460 Santa Teresa";-;2;41;63;78;54;35;9;-;-;-;-;-;282
"320465 São Domingos do Norte";-;1;17;26;26;23;16;1;-;-;-;-;-;110
"320470 São Gabriel da Palha";-;-;69;80;95;101;46;4;-;-;-;-;-;395
"320480 São José do Calçado";-;1;34;36;22;16;15;1;-;-;-;-;-;125
"320490 São Mateus";-;16;279;459;435;374;178;36;6;-;-;-;-;1783
"320495 São Roque do Canaã";-;1;6;19;41;20;14;5;-;-;-;-;-;106
"320500 Serra";-;56;1127;1797;2001;1743;859;191;11;-;-;-;-;7785
"320501 Sooretama";-;6;100;118;105;80;41;7;-;-;-;-;-;457
"320503 Vargem Alta";-;2;43;64;63;54;14;5;1;-;-;-;-;246
"320506 Venda Nova do Imigrante";-;2;38;66;68;75;39;11;1;-;-;-;-;300
"320510 Viana";-;9;179;296;269;208;113;30;3;-;-;-;-;1107
"320515 Vila Pavão";-;1;11;21;28;19;15;5;-;-;-;-;-;100
"320517 Vila Valério";-;2;38;47;53;35;23;1;-;-;-;-;-;199
"320520 Vila Velha";-;34;750;1350;1507;1506;829;186;9;1;-;-;-;6172
"320530 Vitória";-;31;535;815;920;1165;730;167;5;1;-;-;-;4369
"320000 Município ignorado - ES";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"330010 Angra dos Reis";-;21;469;685;583;506;303;59;2;-;-;-;-;2628
"330015 Aperibé";-;-;25;27;43;33;18;3;-;-;-;-;-;149
"330020 Araruama";-;15;299;405;360;290;130;29;1;-;-;-;-;1529
"330022 Areal";-;2;32;44;33;35;16;1;-;-;-;-;-;163
"330023 Armação dos Búzios";-;6;126;191;158;129;65;26;2;-;-;-;-;703
"330025 Arraial do Cabo";-;4;65;108;86;75;39;3;2;-;-;-;-;382
"330030 Barra do Piraí";-;4;186;298;256;218;130;35;3;-;-;-;-;1130
"330040 Barra Mansa";-;13;275;494;518;422;214;58;4;-;-;-;-;1998
"330045 Belford Roxo";-;56;1386;2092;1730;1175;604;160;9;3;-;-;-;7215
"330050 Bom Jardim";-;1;35;43;71;46;35;3;-;-;-;-;-;234
"330060 Bom Jesus do Itabapoana";-;2;67;110;106;101;41;10;2;-;-;-;-;439
"330070 Cabo Frio";-;16;495;719;603;500;279;64;1;-;-;-;-;2677
