"cod_mun";"n_bpc_cadunico";"comdireito_a_bpc";"desv_pad_n_bpc_cadunico";"desv_pad_bpc";"Município";"idosos";"Total";"prop_idosos_cadunico";"direito_bpc_prop_idosos";"ano"
"320290";0;10,7625236456318;0;7,61024773870911;"Itarana";1267;11349;0,0084944938008144;0,0084944938008144;2013
"320300";0;53,8126182281592;0;17,0169290558145;"Iúna";2064;29258;0,0260720049555035;0,0260720049555035;2013
"320305";0;21,5250472912637;0;10,7624994034705;"Jaguaré";1481;27599;0,01453413051402;0,01453413051402;2013
"320310";0;16,1437854684478;0;9,32060489006832;"Jerônimo Monteiro";1274;11707;0,0126717311369292;0,0126717311369292;2013
"320313";0;26,9063091140796;0;14,2374530354249;"João Neiva";1592;16869;0,0169009479359796;0,0169009479359796;2013
"320316";0;16,1437854684478;0;9,32060489006832;"Laranja da Terra";1285;11418;0,0125632571738893;0,0125632571738893;2013
"320320";0;521,980359813144;0;56,6943340697371;"Linhares";8873;157814;0,0588279454314374;0,0588279454314374;2013
"320330";0;26,9063091140796;0;14,2374530354249;"Mantenópolis";1344;14808;0,0200195752336902;0,0200195752336902;2013
"320332";0;43,0500945825274;0;15,2204269105649;"Marataízes";2955;37140;0,0145685599264052;0,0145685599264052;2013
"320334";0;10,7625236456318;0;7,61024773870911;"Marechal Floriano";1191;15689;0,0090365437830662;0,0090365437830662;2013
"320335";NA;NA;NA;NA;"Marilândia";1135;12092;NA;NA;2013
"320340";0;129,164443747582;0;27,4420995022825;"Mimoso do Sul";2594;27309;0,0497935403807178;0,0497935403807178;2013
"320350";0;231,423756381085;0;38,4346365402331;"Montanha";1827;19049;0,12666872270448;0,12666872270448;2013
"320360";0;37,6688327597114;0;17,8475800733809;"Mucurici";562;5909;0,0670263928108744;0,0670263928108744;2013
"320370";0;26,9063091140796;0;14,2374530354249;"Muniz Freire";1648;19081;0,0163266438799027;0,0163266438799027;2013
"320380";0;21,5250472912637;0;10,7624994034705;"Muqui";1545;15438;0,0139320694441836;0,0139320694441836;2013
"320390";0;177,574347152925;0;34,4553697977141;"Nova Venécia";3752;49564;0,0473279176846816;0,0473279176846816;2013
"320400";0;43,0500945825274;0;17,0169750514124;"Pancas";1847;23125;0,0233081183446277;0,0233081183446277;2013
"320405";0;118,38776010195;0;28,4746128654569;"Pedro Canário";1514;25700;0,0781953501333885;0,0781953501333885;2013
"320410";0;113,019812279134;0;25,810610722744;"Pinheiros";2016;26023;0,0560614148209992;0,0560614148209992;2013
"320420";0;10,7625236456318;0;7,61024773870911;"Piúma";1450;20082;0,00742243010043575;0,00742243010043575;2013
"320425";NA;NA;NA;NA;"Ponto Belo";729;7590;NA;NA;2013
"320430";0;16,1437854684478;0;9,32060489006832;"Presidente Kennedy";856;11130;0,0188595624631399;0,0188595624631399;2013
"320435";0;10,7625236456318;0;7,61024773870911;"Rio Bananal";1399;18892;0,00769301189823577;0,00769301189823577;2013
"320440";0;10,7625236456318;0;10,7625236454684;"Rio Novo do Sul";1148;11993;0,00937502059724028;0,00937502059724028;2013
"320450";0;16,1437854684478;0;9,32060489006832;"Santa Leopoldina";1192;12881;0,0135434441849394;0,0135434441849394;2013
"320455";0;32,2875709368955;0;13,1812961543894;"Santa Maria de Jetibá";2400;37720;0,0134531545570398;0,0134531545570398;2013
"320460";0;10,7625236456318;0;7,61024773870911;"Santa Teresa";2373;23432;0,00453540819453512;0,00453540819453512;2013
"320465";0;5,38126182281592;0;5,38126182273421;"São Domingos do Norte";748;8595;0,00719420029788225;0,00719420029788225;2013
"320470";0;26,9063091140796;0;12,0328311031303;"São Gabriel da Palha";2551;35232;0,0105473575515796;0,0105473575515796;2013
"320480";0;26,9063091140796;0;14,2374530354249;"São José do Calçado";1327;10987;0,0202760430399997;0,0202760430399997;2013
"320490";0;581,174008864119;0;60,8811476448765;"São Mateus";6809;120725;0,0853537977477044;0,0853537977477044;2013
"320495";NA;NA;NA;NA;"São Roque do Canaã";1149;12179;NA;NA;2013
"320500";0;1076,26276456318;0;81,9640852365138;"Serra";21268;467318;0,0506047942713553;0,0506047942713553;2013
"320501";0;32,2875709368955;0;13,1812961543894;"Sooretama";1237;26843;0,0261015124793011;0,0261015124793011;2013
"320503";NA;NA;NA;NA;"Vargem Alta";1505;20744;NA;NA;2013
"320506";NA;NA;NA;NA;"Venda Nova do Imigrante";1598;22873;NA;NA;2013
"320510";0;107,621016456318;0;24,0647373328204;"Viana";3638;72115;0,0295824674151507;0,0295824674151507;2013
"320515";0;5,38126182281592;0;5,38126182273421;"Vila Pavão";742;9272;0,00725237442428021;0,00725237442428021;2013
"320517";0;26,9063091140796;0;14,2374530354249;"Vila Valério";980;14614;0,0274554174633465;0,0274554174633465;2013
"320520";0;1200,02763048795;0;86,2666943215159;"Vila Velha";33044;458489;0,0363160522481525;0,0363160522481525;2013
"320530";0;1103,13058867726;0;86,2643519953966;"Vitória";29210;348268;0,0377655114233914;0,0377655114233914;2013
"320010";0;57,9513062892624;0;17,4729577579059;"Afonso Cláudio";3200;32501;0,0181097832153945;0,0181097832153945;2014
"320013";0;5,26829043980825;0;5,26829043990341;"Águia Branca";867;10056;0,00607645956148587;0,00607645956148587;2014
"320016";0;31,6097419529832;0;12,9045755651673;"Água Doce do Norte";1213;12094;0,0260591442316432;0,0260591442316432;2014
"320020";0;10,5365801937502;0;7,45048181493767;"Alegre";3460;32234;0,00304525439125728;0,00304525439125728;2014
"320030";0;5,26829043980825;0;5,26829043990341;"Alfredo Chaves";1539;14914;0,00342319066914116;0,00342319066914116;2014
"320035";0;15,8048713194247;0;9,12493326188251;"Alto Rio Novo";639;7886;0,0247337579333721;0,0247337579333721;2014
"320040";0;42,1463231755328;0;18,2498350431853;"Anchieta";2016;27141;0,0209059142735778;0,0209059142735778;2014
"320050";0;5,2682900968751;0;5,26829009697076;"Apiacá";920;7922;0,00572640227921207;0,00572640227921207;2014
"320060";0;316,081405122063;0;44,7004288616935;"Aracruz";5153;93323;0,0613392984906002;0,0613392984906002;2014
"320070";0;5,2682900968751;0;5,26829009697076;"Atilio Vivacqua";905;11025;0,00582131502417138;0,00582131502417138;2014
"320080";0;68,4917926935642;0;20,4051756780151;"Baixo Guandu";3148;31296;0,0217572403727967;0,0217572403727967;2014
"320090";0;263,424719730691;0;38,7151830293345;"Barra de São Francisco";3820;44242;0,0689593507148405;0,0689593507148405;2014
"320100";0;26,3414518561081;0;11,7802206700231;"Boa Esperança";1230;15241;0,0214158145171611;0,0214158145171611;2014
"320110";0;15,8048709764916;0;9,12493306389114;"Bom Jesus do Norte";1054;10135;0,0149951337537871;0,0149951337537871;2014
