"cod_mun";"n_pbf_cadunico";"ben_pbf";"desv_pad_n_pbf";"desv_pad_pbf";"Município";"pop0a6";"prop_pinf_cadunico";"pbf_pop0a6";"ano"
"320240";0;2749,9745308117;0;151,768676784376;"Guarapari";12485;0,220262277197573;0,220262277197573;2014
"320245";0;621,658268810975;0;66,2171316451044;"Ibatiba";2866;0,216907979347863;0,216907979347863;2014
"320250";0;100,09751767049;0;28,3703726614766;"Ibiraçu";1201;0,0833451437722652;0,0833451437722652;2014
"320255";0;337,170587118929;0;54,7481902318309;"Ibitirama";1166;0,289168599587417;0,289168599587417;2014
"320260";0;79,0243555683243;0;22,963761914678;"Iconha";1194;0,0661845524022817;0,0661845524022817;2014
"320265";0;410,92665396211;0;54,238115514645;"Irupi";1373;0,299291080817269;0,299291080817269;2014
"320270";0;342,438877558737;0;49,1376192974891;"Itaguaçu";1212;0,28254032801876;0,28254032801876;2014
"320280";0;2723,48281131725;0;149,642743438885;"Itapemirim";3973;0,685497813067517;0,685497813067517;2014
"320290";0;94,8292262018827;0;24,7102220191406;"Itarana";748;0,126777040376849;0,126777040376849;2014
"320300";0;779,706984405755;0;83,6262224466097;"Iúna";3332;0,234005697600767;0,234005697600767;2014
"320305";0;716,487495355791;0;72,6132156273346;"Jaguaré";3671;0,195175019165293;0,195175019165293;2014
"320310";0;247,609649642188;0;41,8147091015556;"Jerônimo Monteiro";1151;0,215125673016671;0,215125673016671;2014
"320313";0;115,902387961116;0;26,8627666965968;"João Neiva";1605;0,0722133258324709;0,0722133258324709;2014
"320316";0;152,780418982175;0;32,0452459001418;"Laranja da Terra";938;0,162878911494856;0,162878911494856;2014
"320320";0;8871,81797634084;0;264,330084087198;"Linhares";19577;0,453175561952334;0,453175561952334;2014
"320330";0;590,048526172126;0;66,2175578520397;"Mantenópolis";1624;0,363330373258698;0,363330373258698;2014
"320332";0;2102,05189144858;0;132,334672862698;"Marataízes";4206;0,499774581894575;0,499774581894575;2014
"320334";0;221,26819778608;0;44,0768939475238;"Marechal Floriano";1779;0,124377851481776;0,124377851481776;2014
"320335";0;168,585293730931;0;40,121612146875;"Marilândia";1081;0,1559530931831;0,1559530931831;2014
"320340";0;1717,2722980468;0;111,2443775073;"Mimoso do Sul";2812;0,610694273843102;0,610694273843102;2014
"320350";0;1512,19766188655;0;111,893942236983;"Montanha";2117;0,714311602213771;0,714311602213771;2014
"320360";0;215,999907346272;0;46,8248897568386;"Mucurici";569;0,379613193930179;0,379613193930179;2014
"320370";0;474,146138896876;0;55,7514148050946;"Muniz Freire";1940;0,244405226235503;0,244405226235503;2014
"320380";0;368,780328386045;0;50,5297202517684;"Muqui";1490;0,247503576098017;0,247503576098017;2014
"320390";0;2481,36951788984;0;136,869707288445;"Nova Venécia";5225;0,474903257012409;0,474903257012409;2014
"320400";0;642,731428512609;0;69,8874657886101;"Pancas";2405;0,267247995223538;0,267247995223538;2014
"320405";0;637,4631401304;0;70,4807252132704;"Pedro Canário";3212;0,198462995059278;0,198462995059278;2014
"320410";0;2291,71070060537;0;136,056858384139;"Pinheiros";3255;0,704058586975535;0,704058586975535;2014
"320420";0;200,195036712713;0;48,8555471329347;"Piúma";2132;0,0939001110284772;0,0939001110284772;2014
"320425";0;352,975458438353;0;50,8037832097723;"Ponto Belo";863;0,40900980120319;0,40900980120319;2014
"320430";0;295,024262914596;0;49,4196833555872;"Presidente Kennedy";1193;0,247296113088513;0,247296113088513;2014
"320435";0;611,121689646024;0;72,9958570889579;"Rio Bananal";2005;0,304798847703753;0,304798847703753;2014
"320440";0;163,317000547657;0;32,8998894542884;"Rio Novo do Sul";1089;0,149969697472596;0,149969697472596;2014
"320450";0;268,682807286224;0;44,3902377966041;"Santa Leopoldina";1155;0,232625807174219;0,232625807174219;2014
"320455";0;505,755880849859;0;60,9818246476896;"Santa Maria de Jetibá";4030;0,125497737183588;0,125497737183588;2014
"320460";0;279,219391938105;0;43,1215150127126;"Santa Teresa";2065;0,135215201907072;0,135215201907072;2014
"320465";0;179,121874610547;0;39,4237049429007;"São Domingos do Norte";930;0,1926041662479;0,1926041662479;2014
"320470";0;447,804684983169;0;59,3681723643756;"São Gabriel da Palha";3698;0,121093749319408;0,121093749319408;2014
"320480";0;252,87794042493;0;45,3185413556559;"São José do Calçado";1127;0,224381491060275;0,224381491060275;2014
"320490";0;5199,91517153034;0;202,733911492859;"São Mateus";13805;0,376668972946783;0,376668972946783;2014
"320495";0;94,8292279165485;0;28,8554067385954;"São Roque do Canaã";1135;0,0835499805432145;0,0835499805432145;2014
"320500";0;18275,9631197366;0;385,58000309398;"Serra";57539;0,31762740262668;0,31762740262668;2014
"320501";0;895,609369623405;0;92,1510975489235;"Sooretama";4024;0,222566940761284;0,222566940761284;2014
"320503";0;258,146230521805;0;45,0112352752629;"Vargem Alta";2345;0,110083680393094;0,110083680393094;2014
"320506";0;331,90229667912;0;58,4268209991478;"Venda Nova do Imigrante";2122;0,156410130386013;0,156410130386013;2014
"320510";0;3566,63940790979;0;177,01043267321;"Viana";8272;0,431170141188321;0,431170141188321;2014
"320515";0;221,268198129013;0;37,9892608473261;"Vila Pavão";946;0,23389872952327;0,23389872952327;2014
"320517";0;263,41451958988;0;42,1451410142108;"Vila Valério";1448;0,181916104689144;0,181916104689144;2014
"320520";0;12433,2882139464;0;325,991652203725;"Vila Velha";46487;0,267457315248272;0,267457315248272;2014
"320530";0;11089,9998514866;0;307,652563709657;"Vitória";33871;0,327418731407003;0,327418731407003;2014
"320010";0;1903,47119284706;0;118,591657872006;"Afonso Cláudio";3276;0,581035162651728;0,581035162651728;2015
"320013";0;213,229933882416;0;41,9289353609827;"Águia Branca";1000;0,213229933882416;0,213229933882416;2015
"320016";0;478,46716911383;0;60,2003221160304;"Água Doce do Norte";1214;0,394124521510569;0,394124521510569;2015
"320020";0;676,09491275638;0;75,7198211916545;"Alegre";2726;0,248017209375048;0,248017209375048;2015
