"";"local";"Tx de Cobertura Bruta - Creche";"Tx de Cobertura Efetiva - Creche";"Tx de Cobertura - Pré-escola";"Tx de Cobertura efetiva  - Pré-escola";"Creches e Pre-escolas / 1.000 crianças de 0 a 6";"Creches e Pré-escolas públicas (% do total)";"Nº de alunos por turma"
"45";"Marataízes - ES";"0.365130077590141";"0.338201734367869";"1.03045186640472";"0.945972495088409";"6.38977635782748";"0.916666666666667";"14.792"
"46";"Marechal Floriano - ES";"0.46984126984127";"0.42962962962963";"1.17741935483871";"1.06182795698925";"8.95140664961637";"0.928571428571429";"15.4736842105263"
"47";"Marilândia - ES";"0.286751361161524";"0.266787658802178";"1.11344537815126";"1.03361344537815";"10";"1";"14.1"
"48";"Mimoso do Sul - ES";"0.255177020708083";"0.243820975283901";"0.873310810810811";"0.788851351351351";"6.27877773126831";"1";"14.5"
"49";"Montanha - ES";"0.493756003842459";"0.461095100864553";"1.01754385964912";"0.929824561403509";"4.92610837438424";"0.888888888888889";"12.4819277108434"
"50";"Mucurici - ES";"0.432314410480349";"0.40174672489083";"0.816901408450704";"0.767605633802817";"10.7991360691145";"1";"14.3333333333333"
"51";"Muniz Freire - ES";"0.351197263397948";"0.323831242873432";"0.940552016985138";"0.861995753715499";"7.52823086574655";"1";"15.3265306122449"
"52";"Muqui - ES";"0.331838565022422";"0.292974588938714";"1.01315789473684";"0.927631578947368";"10.2739726027397";"1";"16.6129032258065"
"53";"Nova Venécia - ES";"0.300613496932515";"0.271855828220859";"0.902157164869029";"0.828967642526965";"5.46448087431694";"0.92";"15.801724137931"
"54";"Pancas - ES";"0.294545454545455";"0.264545454545455";"0.852248394004283";"0.779443254817987";"3.91937290033595";"0.857142857142857";"14.734693877551"
"55";"Pedro Canário - ES";"0.253704801422644";"0.217545939537641";"0.776243093922652";"0.730662983425414";"3.22349570200573";"0.666666666666667";"16.1803278688525"
"56";"Pinheiros - ES";"0.103414948453608";"0.102126288659794";"0.340493601462523";"0.310329067641682";"2.86669851887243";"0.916666666666667";"17.9387755102041"
