"";"cd_ibge";"I(f0a9 + smf60 == 2)FALSE";"I(f0a9 + smf60 == 2)TRUE";"se.I(f0a9 + smf60 == 2)FALSE";"se.I(f0a9 + smf60 == 2)TRUE"
"1507805";1507805;619,252504266402;300,072388180025;56,7206108996089;38,0774504905972
"1507904";1507904;635,633489933943;416,252915856415;58,0926914570186;47,7591922954978
"1507953";1507953;8886,86368971885;5716,28355352545;216,268391731916;171,608085036991
"1507961";1507961;450,715143266402;323,513790753918;48,8948491698169;41,0998547570693
"1507979";1507979;526,88664603644;422,753429249494;52,5207760640329;46,5118496648663
"1508001";1508001;9379,28110302638;6015,57934842525;223,526517049217;179,104054054698
"1508035";1508035;4002,80031323539;2796,1927345409;143,534017493162;119,63977148026
"1508050";1508050;355,342595282522;203,092904385019;40,8906704980213;31,1405733958717
"1508084";1508084;4440,91680460068;2066,68296299234;160,341422691625;105,849570744045
"1508100";1508100;13891,9016511917;8039,27367325455;279,674306536898;207,990616761819
"1508126";1508126;720,658981061408;533,760429266402;60,4326588317124;52,6662936705623
"1508159";1508159;5205,85157373788;3061,02213427965;162,685553539001;122,621595464541
"1508209";1508209;8131,54305614896;4989,10273016095;210,394665146758;161,983858023421
"1508308";1508308;8525,60095550757;5449,00531102901;208,547844476326;164,41253179633
"1508407";1508407;952,180184557772;521,993069171965;70,8226641974683;51,3591960502076
"1600055";1600055;411,660764277541;194,15606010795;47,5382650733693;32,0460403778402
"1600105";1600105;1047,328389523;642,914129752015;75,0620035265299;59,3575275890522
"1600154";1600154;1307,40906255508;905,348279188557;81,3653090287898;67,356176014111
"1600204";1600204;404,879475;272,871526455508;47,7262859938699;38,5807109336537
"1600212";1600212;1986,46269874695;1098,54653605437;104,158910004308;77,6817235132304
"1600238";1600238;1647,13564919915;1222,00535264406;91,649439267717;78,8045503791499
"1600253";1600253;0;4,613902;0;4,61390199991253
"1600279";1600279;1460,88454846994;1106,29769581965;93,3861625314758;80,4936087327751
"1600303";1600303;21634,6701968456;12865,1388049681;332,416655029069;251,493267225587
"1600402";1600402;196,592390795006;108,653526897503;32,9745328459496;24,150700725441
"1600535";1600535;1571,05278999747;988,863737897897;89,8070275426756;71,3158686192996
"1600600";1600600;11893,2351013356;7566,47558755377;253,151569411722;199,126736029801
"1600808";1600808;1141,494674;905,627408;76,9475666705145;68,0920475676551
"1700251";1700251;117,786747;76,171025;24,3432419397625;19,1784260870859
"1700301";1700301;779,398098308203;362,960831616405;65,5750932727036;44,1942181949183
"1700350";1700350;1158,25339742262;411,823672213841;83,9476948870358;48,2294934304592
"1700400";1700400;994,07039573888;517,469660866123;73,0697749890601;51,4722679930574
"1700707";1700707;1095,36307330771;736,269046821548;80,8955707390659;65,9329324721332
"1701002";1701002;1033,40623045029;506,635782541013;79,8323340961638;53,3420878164992
"1701051";1701051;212,972254308203;94,718762;35,2825554115489;22,0493399563363
"1701101";1701101;661,424654345655;353,826987970757;60,3428327923995;44,0884489651839
"1701309";1701309;628,662730970757;404,576554541013;57,6731706722082;46,6677481879734
"1701903";1701903;902,07849330614;404,389858082026;70,8052952481785;45,9503019951817
"1702000";1702000;859,602878308203;268,335418;72,7532229166523;38,7330232674361
"1702109";1702109;18991,3819997175;8761,25137232941;339,382310135613;225,136685496505
"1702158";1702158;598,814373102571;326,052056541013;56,9010118145459;42,2241656377542
"1702208";1702208;5771,65136946838;3622,73149991589;174,203614414202;135,958092445481
"1702307";1702307;703,413772158993;374,541499597435;63,2366272599822;44,9771391682211
"1702406";1702406;1660,6687298764;891,731108410774;95,9130679277338;67,6176876927886
"1702554";1702554;1629,70019199539;870,829908451223;93,3393887815881;66,5325497177292
"1702703";1702703;613,401955;261,274999;59,7273167888259;37,6628142037792
"1702901";1702901;914,405951511771;416,530618773824;73,1367236403811;48,7912751589036
"1703008";1703008;1177,84772370158;637,796578184598;82,0221585353625;57,7540092125895
"1703057";1703057;171,356532056422;101,685832429744;31,9388133397364;23,1238342564044
"1703073";1703073;700,966951131326;377,081670467196;62,7566443008139;46,00699961736
"1703107";1703107;973,336115484257;333,01912591591;77,8680152447551;42,7950253449249
"1703206";1703206;457,959641718977;267,962022859488;50,3873391178857;36,9776959294593
"1703305";1703305;106,299429308203;73,910901;23,5795620543869;19,3334423760347
"1703602";1703602;157,329043121542;46,2293199246079;29,8293364029845;15,6867642915962
"1703701";1703701;881,830725420558;467,000142033814;71,4169981867045;50,1497242124272
"1703800";1703800;859,715979614342;457,492896167691;67,2525230469286;48,711013170102
"1703826";1703826;150,361973551286;99,5190576164053;29,0043448829102;23,9563384260133
"1703842";1703842;187,270750354352;161,849291121542;31,8043703442767;29,6285059390825
"1703867";1703867;196,871338748219;62,4235836164053;34,4525912562503;18,362542867698
"1703883";1703883;243,194007;134,261058308203;38,2917196635308;27,988778012168
"1703891";1703891;601,261197568193;332,92577827896;57,4299612036938;42,4050699520363
"1703909";1703909;534,59741;379,435142;55,4321623080483;46,3022297762851
"1704105";1704105;115,526623429744;57,7166376164053;24,4655604031819;16,8129141748697
"1704600";1704600;150,548671308203;64,590358;30,1280704991969;17,2623507024636
"1705102";1705102;460,126416849216;205,538440541013;49,9968745125772;32,096744606942
"1705508";1705508;2968,23751441898;1208,92936590564;132,361101792493;80,2783718239079
"1705557";1705557;654,830979308203;358,533932;61,0379079110544;44,7023100345001
"1705607";1705607;520,476572616405;367,387731232811;53,9371431802874;43,6802159966506
"1706001";1706001;651,824063308203;351,100117;58,8710981338672;42,2331821552159
"1706100";1706100;900,378461148721;358,25388832511;72,2406356295196;43,5732003797686
"1706258";1706258;180,583726616405;30,035055;32,5983760344703;12,44851241514
"1706506";1706506;520,19652727896;263,348425616405;53,0051204184238;36,6887985544009
"1707009";1707009;2389,20416952819;1059,31418909024;118,457999659223;76,6131789508142
"1707108";1707108;728,835231261565;399,776262249718;64,2845561691337;45,7181568657394
"1707207";1707207;1005,18431022048;669,251620321472;72,4076394761906;56,4397843048661
"1707306";1707306;595,227613748219;293,943575475894;59,8490873060423;41,2353981991462
"1707405";1707405;1146,3190868677;656,064266886668;77,7249988816891;57,9153416902787
"1707553";1707553;462,853284850791;184,917275253356;51,5736007025978;31,3729865233904
"1707652";1707652;666,785045121053;333,112478492801;62,6763757250963;43,181460006044
"1707702";1707702;938,893922567705;607,574827155355;71,765995978406;55,804660201347
"1708205";1708205;1774,96206642213;980,322945465133;100,840543039701;72,8601145440983
"1708254";1708254;150,455322616405;101,592483308203;29,5715459703641;22,3939142657244
"1708304";1708304;628,662736396864;505,795646593797;57,6731711263105;50,4614747570054
"1709005";1709005;854,635637063056;635,349752672827;65,8445622602381;57,2280570298212
"1709302";1709302;1688,63035841186;827,794195129751;97,0905627998621;67,1332510559449
"1709500";1709500;10698,3363084448;3819,02630206252;254,654459940606;146,402870078083
"1709807";1709807;145,841724010272;78,617847;29,2094645004557;20,6951851831586
"1710508";1710508;568,219229164053;390,175670773824;53,697856415631;43,7571928597082
"1710706";1710706;841,354944620977;399,776261082027;66,8657339280046;45,7181567988792
"1710904";1710904;180,303679429744;120,140220859488;31,0319388237377;24,8967369970304
"1711100";1711100;97,1655836266778;74,00425;23,3805886757953;20,1743975561945
"1711506";1711506;289,703373616405;92,4586392328106;42,5672808273941;22,1843071081322
"1711803";1711803;182,937199;80,97132;33,0137517512428;21,3435005461068
"1711902";1711902;1054,79393596363;552,678404522043;76,6911391104254;54,9994768947078
"1711951";1711951;404,856602895365;233,406719859488;47,7236990812397;34,9906461604614
"1712009";1712009;433,378322253356;138,594608308203;52,0024100775574;26,5515048805668
"1712157";1712157;78,804545;62,5169326164053;22,2427366274448;19,2459685665134
"1712405";1712405;90,1051653082027;87,751692;21,5612898294022;20,9197262738963
"1712454";1712454;245,640826395442;136,334484429744;39,0734350924467;26,6636972444742
"1712504";1712504;564,352423174326;376,801624895365;55,9283022396951;44,9107036012911
"1712702";1712702;69,297304;32,388528;18,7749184707813;13,4988921767251
"1712801";1712801;395,442712006634;221,919402970757;46,5676083825546;34,4637659679447
"1713205";1713205;1832,58535222569;1075,04170272925;102,068574933257;76,121769047507
"1713304";1713304;1406,73419459744;668,205025056422;89,236806317172;60,1941606169631
"1713601";1713601;594,107428092299;411,076878121542;56,4200580354098;45,3904186832355
